ite 803, loss is 9.829615592956543
ite 804, loss is 9.486355781555176
ite 805, loss is 9.722591400146484
ite 806, loss is 9.279519081115723
ite 807, loss is 9.533304214477539
ite 808, loss is 9.1327486038208
ite 809, loss is 9.30456256866455
ite 810, loss is 9.11063289642334
ite 811, loss is 9.194234848022461
ite 812, loss is 8.97062873840332
ite 813, loss is 8.982275009155273
ite 814, loss is 8.962214469909668
ite 815, loss is 8.851543426513672
ite 816, loss is 8.879308700561523
ite 817, loss is 8.768320083618164
ite 818, loss is 8.803583145141602
ite 819, loss is 8.701199531555176
ite 820, loss is 8.753741264343262
ite 821, loss is 8.626790046691895
ite 822, loss is 8.672103881835938
